case_id,case_start_time,n_events,outcome_activity,outcome_position,target,eligible_k10
Application_1002996676,2016-02-19 14:07:16.599000+00:00,21,A_Cancelled,19,0,True
Application_100305707,2016-02-12 18:28:18.495000+00:00,34,A_Pending,33,1,True
Application_1003092772,2016-04-22 15:13:55.735000+00:00,45,A_Denied,43,0,True
Application_1003146166,2016-12-15 11:56:20.222000+00:00,18,A_Cancelled,17,0,True
Application_1003184938,2016-02-11 15:39:49.170000+00:00,38,A_Pending,37,1,True
Application_1003213123,2016-05-11 11:49:05.818000+00:00,31,A_Denied,29,0,True
Application_1003239424,2016-06-18 11:36:12.329000+00:00,24,A_Cancelled,22,0,True
Application_1003257895,2016-04-30 10:21:09.349000+00:00,69,A_Denied,63,0,True
Application_1003264681,2016-07-05 15:34:04.419000+00:00,61,A_Pending,60,1,True
Application_1003291296,2016-11-10 20:47:32.075000+00:00,21,A_Cancelled,19,0,True
Application_1003335792,2016-02-22 21:46:59.766000+00:00,22,A_Cancelled,20,0,True
Application_1003444518,2016-09-13 08:04:46.761000+00:00,41,A_Cancelled,39,0,True
Application_1003445359,2016-09-20 14:54:44.210000+00:00,32,A_Pending,31,1,True
Application_1003568418,2016-06-01 19:55:34.269000+00:00,21,A_Cancelled,19,0,True
Application_1003575962,2016-01-19 20:41:26.596000+00:00,23,A_Cancelled,21,0,True
Application_1003594594,2016-07-13 13:56:48.751000+00:00,21,A_Cancelled,19,0,True
Application_1003634925,2016-02-08 12:15:54.757000+00:00,26,A_Pending,25,1,True
Application_1003639640,2016-01-26 11:31:07.592000+00:00,35,A_Pending,34,1,True
Application_1003879772,2016-02-17 21:48:15.655000+00:00,107,A_Pending,105,1,True
Application_1003896153,2016-09-27 10:13:58.353000+00:00,32,A_Denied,29,0,True
Application_1003963311,2016-09-16 10:43:49.507000+00:00,28,A_Pending,27,1,True
Application_1004293292,2016-01-07 20:53:14.423000+00:00,30,A_Pending,29,1,True
Application_1004303396,2016-01-04 12:38:39.579000+00:00,97,A_Pending,96,1,True
Application_1004317586,2016-09-14 17:19:15.957000+00:00,27,A_Denied,25,0,True
Application_100433898,2016-08-11 11:36:02.234000+00:00,63,A_Pending,62,1,True
Application_1004385970,2016-10-24 07:00:48.303000+00:00,35,A_Pending,34,1,True
Application_1004515382,2016-10-17 15:38:04.799000+00:00,22,A_Pending,21,1,True
Application_1004573204,2016-08-26 16:03:02.658000+00:00,18,A_Cancelled,16,0,True
Application_1004581995,2016-09-17 15:04:19.304000+00:00,22,A_Cancelled,20,0,True
Application_1004601801,2016-11-07 16:45:30.715000+00:00,50,A_Pending,47,1,True
Application_1004618053,2016-07-21 07:34:05.992000+00:00,32,A_Pending,31,1,True
Application_1004667877,2016-04-19 07:40:49.280000+00:00,62,A_Pending,61,1,True
Application_1004702768,2016-10-13 15:37:50.965000+00:00,28,A_Pending,27,1,True
Application_1004718670,2016-09-12 07:15:38.032000+00:00,38,A_Pending,37,1,True
Application_1004752022,2016-08-14 14:30:08.095000+00:00,24,A_Cancelled,21,0,True
Application_1004788187,2016-03-31 12:01:20.438000+00:00,25,A_Cancelled,23,0,True
Application_1004817800,2016-08-24 07:16:20.780000+00:00,27,A_Cancelled,25,0,True
Application_1004853526,2016-11-23 12:48:23.719000+00:00,24,A_Pending,23,1,True
Application_1004943461,2016-01-16 09:59:48.745000+00:00,24,A_Pending,23,1,True
Application_1004972579,2016-09-14 16:16:44.147000+00:00,28,A_Pending,27,1,True
Application_1005003910,2016-06-06 12:49:11.493000+00:00,23,A_Pending,22,1,True
Application_1005037911,2016-09-02 19:58:09.187000+00:00,20,A_Cancelled,18,0,True
Application_1005228320,2016-11-10 14:03:33.988000+00:00,51,A_Pending,47,1,True
Application_1005342157,2016-07-21 12:43:19.158000+00:00,53,A_Pending,52,1,True
Application_1005395271,2016-04-24 13:36:44.557000+00:00,22,A_Cancelled,20,0,True
Application_1005465952,2016-07-27 12:02:15.612000+00:00,34,A_Pending,33,1,True
Application_1005568510,2016-11-25 23:48:00.228000+00:00,96,A_Cancelled,88,0,True
Application_1005586643,2016-05-26 15:31:01.455000+00:00,27,A_Pending,26,1,True
Application_1005604553,2016-03-17 13:05:56.700000+00:00,77,A_Pending,74,1,True
Application_1005677212,2016-10-08 19:44:48.597000+00:00,41,A_Pending,40,1,True
Application_1005734659,2016-08-01 17:32:29.718000+00:00,46,A_Pending,43,1,True
Application_1005851562,2016-04-18 02:17:25.149000+00:00,28,A_Pending,27,1,True
Application_1005878170,2016-02-17 11:28:22.534000+00:00,66,A_Pending,64,1,True
Application_100589233,2016-03-25 10:51:03.856000+00:00,58,A_Denied,56,0,True
Application_1006019928,2016-08-26 12:30:26.299000+00:00,36,A_Pending,35,1,True
Application_1006058240,2016-06-03 11:34:39.763000+00:00,32,A_Denied,30,0,True
Application_1006138809,2016-10-16 15:32:20.009000+00:00,63,A_Pending,61,1,True
Application_1006164631,2016-07-14 10:34:03.477000+00:00,36,A_Denied,34,0,True
Application_1006214165,2016-01-27 15:52:17.280000+00:00,53,A_Pending,52,1,True
Application_1006347888,2016-04-27 19:15:52.777000+00:00,21,A_Cancelled,19,0,True
Application_1006372947,2016-06-13 08:46:51.177000+00:00,54,A_Pending,52,1,True
Application_1006457880,2016-09-21 12:13:49.024000+00:00,66,A_Pending,64,1,True
Application_1006458332,2016-09-15 20:31:56.379000+00:00,50,A_Pending,49,1,True
Application_1006489560,2016-02-11 12:46:12.773000+00:00,33,A_Pending,32,1,True
Application_1006959642,2016-05-23 16:29:24.105000+00:00,35,A_Pending,33,1,True
Application_1006996577,2016-09-16 19:20:20.005000+00:00,21,A_Cancelled,19,0,True
Application_1007147744,2016-08-08 17:50:56.706000+00:00,22,A_Cancelled,20,0,True
Application_1007255451,2016-12-01 11:13:02.425000+00:00,25,A_Cancelled,23,0,True
Application_1007290684,2016-11-01 09:27:12.169000+00:00,44,A_Pending,43,1,True
Application_1007340039,2016-10-18 17:15:15.964000+00:00,45,A_Pending,44,1,True
Application_1007423229,2016-01-29 16:20:33.910000+00:00,38,A_Denied,35,0,True
Application_1007501706,2016-09-21 12:52:47.500000+00:00,24,A_Cancelled,21,0,True
Application_1007507108,2016-08-02 11:03:28.337000+00:00,28,A_Pending,26,1,True
Application_1007516030,2016-12-22 14:31:47.755000+00:00,35,A_Pending,34,1,True
Application_1007530778,2016-04-15 11:21:13.646000+00:00,38,A_Pending,36,1,True
Application_1007601292,2016-11-12 17:36:57.416000+00:00,42,A_Denied,39,0,True
Application_1007607428,2016-05-11 15:06:12.849000+00:00,25,A_Cancelled,23,0,True
Application_1007766945,2016-06-20 07:18:45.576000+00:00,33,A_Pending,32,1,True
Application_1007846031,2016-10-06 11:30:57.883000+00:00,48,A_Denied,45,0,True
Application_1007929195,2016-02-19 10:39:26.246000+00:00,48,A_Pending,47,1,True
Application_1008012118,2016-11-19 14:10:52.783000+00:00,23,A_Cancelled,21,0,True
Application_1008205514,2016-01-26 12:10:26.576000+00:00,37,A_Pending,36,1,True
Application_100833857,2016-08-08 11:54:47.693000+00:00,24,A_Pending,23,1,True
Application_1008474739,2016-03-08 18:10:17.273000+00:00,50,A_Cancelled,47,0,True
Application_1008477029,2016-02-03 18:10:49.146000+00:00,50,A_Pending,49,1,True
Application_1008513010,2016-04-01 07:50:38.796000+00:00,49,A_Pending,48,1,True
Application_100853745,2016-12-21 09:54:41.682000+00:00,30,A_Denied,28,0,True
Application_1008548242,2016-09-12 08:40:13.408000+00:00,39,A_Pending,37,1,True
Application_1008663678,2016-10-17 18:26:23.140000+00:00,58,A_Denied,56,0,True
Application_1008776960,2016-01-27 18:21:45.698000+00:00,58,A_Pending,56,1,True
Application_1008803681,2016-09-24 21:00:02.556000+00:00,33,A_Denied,31,0,True
Application_1008820487,2016-05-31 13:49:44.794000+00:00,46,A_Cancelled,44,0,True
Application_1008848932,2016-12-27 18:57:10.320000+00:00,24,A_Cancelled,22,0,True
Application_100886157,2016-11-11 15:56:35.546000+00:00,45,A_Pending,43,1,True
Application_1008885658,2016-04-25 19:14:30.781000+00:00,61,A_Pending,60,1,True
Application_1008893228,2016-07-27 13:05:42.167000+00:00,50,A_Pending,49,1,True
Application_1008926043,2016-07-22 07:48:15.478000+00:00,30,A_Denied,27,0,True
Application_100896625,2016-09-20 11:42:23.709000+00:00,27,A_Cancelled,25,0,True
Application_1008980114,2016-06-15 17:22:21.547000+00:00,61,A_Pending,60,1,True
Application_1009117608,2016-03-07 21:27:06.315000+00:00,40,A_Pending,39,1,True
Application_1009170679,2016-11-22 13:23:49.533000+00:00,49,A_Pending,47,1,True
Application_1009201632,2016-07-18 16:15:02.147000+00:00,29,A_Cancelled,27,0,True
Application_1009220910,2016-03-11 09:50:30.697000+00:00,34,A_Pending,33,1,True
Application_100930614,2016-12-03 19:45:13.288000+00:00,23,A_Cancelled,21,0,True
Application_1009327734,2016-04-19 21:55:52.703000+00:00,54,A_Pending,53,1,True
Application_1009342776,2016-05-10 15:27:37.662000+00:00,55,A_Pending,49,1,True
Application_1009359277,2016-03-01 16:48:10.323000+00:00,33,A_Denied,31,0,True
Application_100942591,2016-08-29 11:57:31.519000+00:00,53,A_Pending,52,1,True
Application_1009442649,2016-01-23 16:03:31.309000+00:00,74,A_Pending,73,1,True
Application_1009443818,2016-04-23 11:41:57.455000+00:00,58,A_Cancelled,56,0,True
Application_1009466765,2016-05-15 09:34:09.398000+00:00,23,A_Cancelled,21,0,True
Application_1009604939,2016-11-18 11:35:38.331000+00:00,36,A_Denied,33,0,True
Application_1009728487,2016-09-02 17:46:04.418000+00:00,32,A_Denied,30,0,True
Application_1009741271,2016-12-11 18:28:21.405000+00:00,22,A_Cancelled,20,0,True
Application_1009792822,2016-09-28 18:33:59.086000+00:00,31,A_Pending,30,1,True
Application_1009850069,2016-10-11 10:37:37.779000+00:00,31,A_Pending,29,1,True
Application_1009860656,2016-10-08 09:09:50.958000+00:00,25,A_Pending,24,1,True
Application_1009921342,2016-09-25 09:06:46.493000+00:00,23,A_Cancelled,21,0,True
Application_1009927186,2016-06-17 08:20:50.341000+00:00,31,A_Pending,30,1,True
Application_1009956698,2016-06-05 06:55:35.255000+00:00,52,A_Pending,51,1,True
Application_1010016709,2016-05-11 17:28:05.088000+00:00,35,A_Pending,34,1,True
Application_1010084086,2016-02-10 19:12:10.145000+00:00,22,A_Cancelled,20,0,True
Application_101013624,2016-07-23 15:33:08.813000+00:00,48,A_Pending,47,1,True
Application_1010146666,2016-05-12 07:39:46.540000+00:00,25,A_Cancelled,23,0,True
Application_101015826,2016-02-16 19:41:19.074000+00:00,35,A_Pending,34,1,True
Application_1010273024,2016-07-27 14:07:29.195000+00:00,38,A_Pending,37,1,True
Application_1010284825,2016-09-26 13:19:52.280000+00:00,32,A_Pending,31,1,True
Application_1010390571,2016-12-08 16:33:55.872000+00:00,32,A_Denied,30,0,True
Application_1010573951,2016-01-21 09:27:55.373000+00:00,33,A_Pending,32,1,True
Application_1010578897,2016-10-18 12:56:28.173000+00:00,53,A_Pending,52,1,True
Application_1010579931,2016-12-20 08:49:50.228000+00:00,24,A_Pending,23,1,True
Application_1010651948,2016-09-27 18:13:34.402000+00:00,34,A_Pending,33,1,True
Application_1010657155,2016-11-16 17:40:49.463000+00:00,48,A_Pending,46,1,True
Application_101073762,2016-10-03 13:51:56.175000+00:00,99,A_Pending,98,1,True
Application_1010778247,2016-06-13 11:25:55.449000+00:00,36,A_Pending,35,1,True
Application_1010825982,2016-11-07 09:49:39.878000+00:00,45,A_Pending,44,1,True
Application_101092690,2016-07-08 11:55:01.918000+00:00,42,A_Pending,41,1,True
Application_1011007304,2016-08-25 13:11:34.848000+00:00,72,A_Pending,71,1,True
Application_1011122543,2016-05-22 14:09:06.632000+00:00,31,A_Denied,29,0,True
Application_1011124726,2016-01-18 12:23:20.225000+00:00,24,A_Pending,23,1,True
Application_1011166304,2016-10-12 13:59:23.124000+00:00,29,A_Pending,28,1,True
Application_1011256754,2016-07-12 07:37:20.804000+00:00,22,A_Cancelled,20,0,True
Application_1011449253,2016-12-22 09:21:34.141000+00:00,24,A_Pending,23,1,True
Application_1011514458,2016-02-18 09:00:38.019000+00:00,22,A_Cancelled,19,0,True
Application_1011657063,2016-03-17 21:49:26.225000+00:00,33,A_Denied,31,0,True
Application_1011711759,2016-09-21 10:37:14.203000+00:00,66,A_Pending,65,1,True
Application_1011743105,2016-11-18 09:47:41.010000+00:00,51,A_Cancelled,49,0,True
Application_1011752493,2016-08-25 17:31:15.282000+00:00,53,A_Pending,51,1,True
Application_1011891800,2016-08-16 09:31:28.856000+00:00,30,A_Pending,28,1,True
Application_1011933027,2016-08-01 12:36:46.784000+00:00,22,A_Cancelled,20,0,True
Application_1012033620,2016-07-29 06:59:29.260000+00:00,23,A_Cancelled,21,0,True
Application_1012036369,2016-06-10 16:47:50.636000+00:00,34,A_Pending,33,1,True
Application_1012242407,2016-09-08 18:31:01.600000+00:00,20,A_Cancelled,18,0,True
Application_1012362506,2016-06-08 20:20:07.663000+00:00,32,A_Pending,31,1,True
Application_1012472852,2016-06-09 08:28:18.335000+00:00,29,A_Cancelled,27,0,True
Application_1012566167,2016-05-13 07:26:15.612000+00:00,97,A_Pending,93,1,True
Application_1012600292,2016-10-17 22:05:20.295000+00:00,56,A_Pending,54,1,True
Application_1012691702,2016-09-22 10:29:46.142000+00:00,53,A_Denied,51,0,True
Application_1012695759,2016-09-26 14:20:27.678000+00:00,15,A_Denied,13,0,True
Application_1012709826,2016-01-23 09:28:49.908000+00:00,37,A_Pending,36,1,True
Application_1012714056,2016-01-15 17:18:37.060000+00:00,88,A_Pending,84,1,True
Application_1012727008,2016-01-16 14:42:35.471000+00:00,50,A_Pending,49,1,True
Application_101281963,2016-10-11 07:57:11.031000+00:00,59,A_Pending,58,1,True
Application_101285063,2016-10-10 14:23:58.484000+00:00,28,A_Cancelled,25,0,True
Application_1012862839,2016-10-18 14:28:59.126000+00:00,34,A_Denied,32,0,True
Application_1012880100,2016-06-11 14:37:23.997000+00:00,33,A_Pending,32,1,True
Application_1013192848,2016-10-10 17:48:41.829000+00:00,44,A_Pending,42,1,True
Application_1013194708,2016-12-01 13:09:14.865000+00:00,59,A_Pending,57,1,True
Application_1013244911,2016-08-09 09:58:47.976000+00:00,82,A_Pending,79,1,True
Application_1013496029,2016-12-21 21:44:32.745000+00:00,25,A_Cancelled,23,0,True
Application_1013542133,2016-06-08 11:39:39.518000+00:00,33,A_Pending,32,1,True
Application_1013582921,2016-03-01 13:13:34.672000+00:00,55,A_Denied,52,0,True
Application_1013759462,2016-11-19 14:48:52.432000+00:00,38,A_Pending,35,1,True
Application_1013989329,2016-02-28 16:16:19.758000+00:00,24,A_Cancelled,22,0,True
Application_1013997167,2016-08-21 12:21:25.601000+00:00,24,A_Cancelled,22,0,True
Application_1014199128,2016-03-07 08:59:41.363000+00:00,31,A_Pending,30,1,True
Application_10142236,2016-09-22 05:29:26.042000+00:00,20,A_Cancelled,18,0,True
Application_1014252876,2016-09-20 12:58:46.079000+00:00,23,A_Cancelled,21,0,True
Application_1014284368,2016-02-21 10:15:30.349000+00:00,25,A_Cancelled,23,0,True
Application_1014301064,2016-01-06 13:56:37.110000+00:00,28,A_Denied,26,0,True
Application_1014473740,2016-03-05 09:12:14.075000+00:00,21,A_Cancelled,19,0,True
Application_1014628070,2016-12-07 19:20:39.634000+00:00,22,A_Cancelled,20,0,True
Application_1014738976,2016-03-17 20:43:40.562000+00:00,38,A_Denied,36,0,True
Application_1014760259,2016-01-14 10:04:05.932000+00:00,40,A_Denied,38,0,True
Application_1014798002,2016-09-20 10:10:29.880000+00:00,35,A_Denied,33,0,True
Application_1014808270,2016-06-14 09:51:19.125000+00:00,66,A_Pending,64,1,True
Application_1014824736,2016-01-13 09:40:15.604000+00:00,40,A_Pending,39,1,True
Application_1014917757,2016-05-03 08:44:47.931000+00:00,23,A_Cancelled,21,0,True
Application_1014987100,2016-10-13 13:19:18.604000+00:00,44,A_Pending,43,1,True
Application_1015071619,2016-07-11 14:26:35.137000+00:00,63,A_Pending,62,1,True
Application_1015084008,2016-09-20 17:52:13.111000+00:00,35,A_Pending,34,1,True
Application_1015183847,2016-05-10 08:11:54.871000+00:00,47,A_Pending,46,1,True
Application_1015245209,2016-01-13 08:12:12.736000+00:00,40,A_Pending,39,1,True
Application_1015296509,2016-06-14 00:42:06.492000+00:00,82,A_Pending,80,1,True
Application_1015311658,2016-03-20 20:40:56.444000+00:00,46,A_Pending,45,1,True
Application_1015323110,2016-04-18 18:49:10.100000+00:00,55,A_Cancelled,53,0,True
Application_1015357327,2016-01-08 21:13:25.354000+00:00,32,A_Pending,31,1,True
Application_1015358885,2016-03-21 10:36:15.631000+00:00,40,A_Pending,38,1,True
Application_101540725,2016-12-19 22:14:24.834000+00:00,47,A_Pending,46,1,True
Application_1015413412,2016-11-28 12:07:06.285000+00:00,21,A_Cancelled,19,0,True
Application_1015478096,2016-01-11 09:24:23.356000+00:00,20,A_Cancelled,18,0,True
Application_101548356,2016-05-30 09:19:15.205000+00:00,75,A_Cancelled,72,0,True
Application_1015522224,2016-12-21 20:56:23.303000+00:00,16,A_Cancelled,14,0,True
Application_1015528427,2016-03-18 11:51:05.602000+00:00,32,A_Pending,31,1,True
Application_1015546073,2016-04-03 22:13:13.143000+00:00,48,A_Pending,47,1,True
Application_1015602490,2016-07-22 11:49:53.219000+00:00,67,A_Pending,64,1,True
Application_1015666669,2016-05-11 16:07:49.124000+00:00,26,A_Cancelled,24,0,True
Application_1015673643,2016-08-14 08:52:16.267000+00:00,45,A_Pending,43,1,True
Application_1015777884,2016-06-16 10:15:22.031000+00:00,27,A_Denied,25,0,True
Application_1015829712,2016-03-16 19:48:01.452000+00:00,29,A_Cancelled,27,0,True
Application_1015843971,2016-11-23 19:45:34.098000+00:00,21,A_Cancelled,19,0,True
Application_1015944019,2016-04-10 09:09:43.437000+00:00,47,A_Pending,46,1,True
Application_101604435,2016-06-08 08:15:20.543000+00:00,98,A_Pending,94,1,True
Application_1016139280,2016-05-31 02:54:03.500000+00:00,21,A_Cancelled,19,0,True
Application_1016282069,2016-03-02 11:30:39.567000+00:00,52,A_Pending,51,1,True
Application_1016339725,2016-06-01 15:41:19.453000+00:00,33,A_Denied,31,0,True
Application_101639139,2016-10-10 15:37:00.597000+00:00,34,A_Pending,33,1,True
Application_1016451751,2016-06-01 15:50:13.847000+00:00,69,A_Pending,67,1,True
Application_1016463575,2016-03-03 09:44:06.901000+00:00,65,A_Pending,64,1,True
Application_1016541821,2016-01-25 14:36:47.725000+00:00,27,A_Denied,25,0,True
Application_1016632627,2016-01-11 11:45:57.199000+00:00,65,A_Pending,64,1,True
Application_1016735,2016-03-25 10:07:34.759000+00:00,55,A_Cancelled,53,0,True
Application_1016778548,2016-12-23 13:30:01.692000+00:00,28,A_Pending,27,1,True
Application_1016792765,2016-10-28 08:38:27.199000+00:00,18,A_Cancelled,16,0,True
Application_1016809148,2016-12-05 20:24:13.917000+00:00,21,A_Cancelled,19,0,True
Application_1016816804,2016-01-04 19:04:49.998000+00:00,46,A_Pending,45,1,True
Application_1016977130,2016-09-01 10:34:51.588000+00:00,67,A_Pending,66,1,True
Application_1017028247,2016-08-15 12:20:00.494000+00:00,22,A_Pending,21,1,True
Application_1017053119,2016-11-28 08:04:23.777000+00:00,35,A_Pending,33,1,True
Application_1017054863,2016-05-18 14:22:01.745000+00:00,28,A_Pending,27,1,True
Application_1017064738,2016-10-05 17:33:42.477000+00:00,43,A_Pending,42,1,True
Application_1017105040,2016-08-19 14:41:29.639000+00:00,21,A_Cancelled,19,0,True
Application_1017122987,2016-03-02 18:17:15.525000+00:00,21,A_Cancelled,19,0,True
Application_1017220956,2016-11-04 11:15:50.436000+00:00,48,A_Pending,47,1,True
Application_101731242,2016-07-05 13:43:33.269000+00:00,47,A_Pending,46,1,True
Application_1017437265,2016-03-14 12:59:21.645000+00:00,18,A_Cancelled,16,0,True
Application_1017445442,2016-12-11 01:12:55.734000+00:00,23,A_Cancelled,21,0,True
Application_1017492916,2016-01-01 19:18:43.997000+00:00,22,A_Cancelled,20,0,True
Application_1017548876,2016-08-19 18:06:39.706000+00:00,28,A_Pending,26,1,True
Application_1017578132,2016-08-19 13:28:32.404000+00:00,38,A_Pending,37,1,True
Application_1017620318,2016-11-30 12:07:49.874000+00:00,41,A_Pending,38,1,True
Application_1017623303,2016-07-04 18:35:40.300000+00:00,55,A_Pending,53,1,True
Application_1017644369,2016-12-05 12:26:29.470000+00:00,24,A_Cancelled,22,0,True
Application_1017661250,2016-06-05 17:52:25.443000+00:00,60,A_Pending,58,1,True
Application_1017685010,2016-11-27 18:25:53.592000+00:00,57,A_Pending,56,1,True
Application_1017777344,2016-12-08 19:03:06.901000+00:00,44,A_Pending,42,1,True
Application_1017828639,2016-05-25 10:14:10.400000+00:00,110,A_Pending,108,1,True
Application_1017917646,2016-09-28 08:04:07.229000+00:00,18,A_Cancelled,16,0,True
Application_1017927606,2016-05-31 14:13:28.726000+00:00,21,A_Cancelled,19,0,True
Application_1018089402,2016-03-01 14:02:34.728000+00:00,27,A_Denied,25,0,True
Application_1018249155,2016-12-14 13:40:57.775000+00:00,31,A_Denied,29,0,True
Application_1018266027,2016-10-27 07:15:32.712000+00:00,27,A_Denied,25,0,True
Application_1018276550,2016-10-07 13:59:24.077000+00:00,18,A_Cancelled,16,0,True
Application_1018407971,2016-05-26 12:40:20.079000+00:00,25,A_Pending,24,1,True
Application_1018538193,2016-05-25 11:26:42.860000+00:00,53,A_Pending,50,1,True
Application_1018583202,2016-11-28 15:45:09.280000+00:00,20,A_Cancelled,18,0,True
Application_1018615109,2016-01-01 21:57:30.249000+00:00,38,A_Pending,36,1,True
Application_1018658664,2016-07-01 12:14:33.171000+00:00,34,A_Denied,31,0,True
Application_1018770495,2016-10-18 08:51:42.172000+00:00,27,A_Pending,26,1,True
Application_101881919,2016-09-04 18:28:29.928000+00:00,31,A_Pending,30,1,True
Application_1019051515,2016-08-08 12:01:32.172000+00:00,44,A_Pending,42,1,True
Application_1019084704,2016-02-10 06:55:39.520000+00:00,28,A_Cancelled,26,0,True
Application_1019266700,2016-09-02 09:26:08.194000+00:00,56,A_Pending,55,1,True
Application_1019277788,2016-06-14 14:39:57.631000+00:00,22,A_Cancelled,20,0,True
Application_1019299562,2016-05-06 08:26:42.845000+00:00,31,A_Pending,30,1,True
Application_1019357279,2016-09-11 18:49:07.959000+00:00,22,A_Cancelled,20,0,True
Application_1019452946,2016-04-13 11:42:51.154000+00:00,33,A_Cancelled,31,0,True
Application_1019469082,2016-05-12 14:03:27.190000+00:00,21,A_Cancelled,19,0,True
Application_1019603677,2016-05-23 17:39:48.684000+00:00,56,A_Pending,54,1,True
Application_1019687793,2016-09-16 10:59:03.635000+00:00,31,A_Denied,27,0,True
Application_1019714896,2016-02-16 16:51:44.305000+00:00,41,A_Cancelled,39,0,True
Application_101973919,2016-10-26 13:58:26.627000+00:00,68,A_Pending,67,1,True
Application_1019756607,2016-11-14 15:28:58.394000+00:00,59,A_Pending,58,1,True
Application_1019781911,2016-03-09 07:24:04.122000+00:00,46,A_Pending,45,1,True
Application_1019849833,2016-11-22 17:17:23.457000+00:00,31,A_Denied,29,0,True
Application_1020019812,2016-11-27 19:48:48.691000+00:00,28,A_Cancelled,25,0,True
Application_1020036346,2016-12-02 13:18:40.148000+00:00,32,A_Cancelled,30,0,True
Application_1020070367,2016-04-22 09:40:22.789000+00:00,24,A_Cancelled,22,0,True
Application_102018713,2016-03-18 14:03:46.361000+00:00,25,A_Denied,23,0,True
Application_1020232709,2016-04-28 08:52:38.797000+00:00,39,A_Pending,38,1,True
Application_1020381296,2016-04-20 08:19:05.154000+00:00,81,A_Pending,79,1,True
Application_1020410553,2016-09-18 11:13:08.397000+00:00,34,A_Denied,32,0,True
Application_102041449,2016-12-08 20:19:22.790000+00:00,20,A_Cancelled,18,0,True
Application_1020606169,2016-09-22 04:35:48.215000+00:00,53,A_Pending,52,1,True
Application_1020696982,2016-10-24 21:04:02.618000+00:00,58,A_Pending,57,1,True
