sample_order,source_row_index,case_id,target,model_probability_success,reconstructed_probability_success,absolute_additivity_error
37,5450,Application_159413614,0,0.6266666666666667,0.626660003407214,6.663259452754922e-06
38,1470,Application_1423878486,1,0.9233333333333333,0.9233266797501649,6.65358316842557e-06
39,4261,Application_1279531338,0,0.7766666666666666,0.7766600095704081,6.657096258466666e-06
40,2464,Application_816734015,0,0.64,0.6399933371843246,6.662815675406719e-06
41,4200,Application_2126583947,1,0.69,0.6899933382016861,6.661798313878364e-06
42,351,Application_123834627,1,0.37333333333333335,0.37332665922899233,6.674104341020115e-06
43,5548,Application_1623166177,1,0.5266666666666666,0.5266599990145113,6.6676521552899715e-06
44,1738,Application_717856936,1,0.65,0.6499933358192761,6.664180723925384e-06
45,4057,Application_1973533961,1,0.7866666666666666,0.7866600081348658,6.658531800818324e-06
46,5052,Application_1231420166,1,0.35,0.34999332607796446,6.673922035516089e-06
47,5753,Application_1611309750,1,0.41333333333333333,0.4133266596315247,6.673701808623811e-06
48,3217,Application_478644845,0,0.5133333333333333,0.5133266644434336,6.66888989975245e-06
49,2550,Application_629867343,0,0.43333333333333335,0.43332666218728244,6.6711460509072396e-06
50,2716,Application_1635121236,1,0.48,0.479993327584141,6.672415858999248e-06
51,209,Application_1505236670,1,0.87,0.8699933397385882,6.660261411828294e-06
52,2982,Application_625813474,0,0.6066666666666667,0.6066600015401022,6.665126564442403e-06
53,5363,Application_1472029656,0,0.43,0.42999332990373995,6.670096260041891e-06
54,2510,Application_912681536,1,0.6566666666666666,0.6566600033105804,6.663356086233918e-06
55,2544,Application_1631898559,1,0.63,0.6299933347818218,6.665218178159016e-06
56,5469,Application_2133672696,1,0.59,0.5899933311045108,6.668895489170268e-06
57,4912,Application_1146810684,1,0.39666666666666667,0.39665999108179056,6.675584876103535e-06
58,738,Application_212002191,1,0.5866666666666667,0.5866599996330135,6.667033653151577e-06
59,225,Application_500790886,1,0.37,0.3699933279197985,6.6720802014974545e-06
60,126,Application_536009009,1,0.32666666666666666,0.32665999079347385,6.67587319280738e-06
61,2365,Application_200623911,0,0.67,0.6699933343711046,6.665628895397013e-06
62,3857,Application_453112637,1,0.6866666666666666,0.6866600022529649,6.6644137017846106e-06
63,74,Application_257082685,0,0.5966666666666667,0.5966600025716381,6.66409502858567e-06
64,4054,Application_958762299,0,0.42,0.41999332799316885,6.672006831132116e-06
65,5554,Application_1939679303,0,0.43666666666666665,0.4366599972718772,6.669394789438066e-06
66,1139,Application_75877971,1,0.29333333333333333,0.29332665680369585,6.676529637483775e-06
67,253,Application_1775767690,0,0.43,0.4299933283419053,6.671658094703492e-06
68,3153,Application_1750255251,1,0.73,0.729993340858889,6.659141110976208e-06
69,2006,Application_459492793,1,0.72,0.7199933391872463,6.660812753689349e-06
70,2665,Application_319696917,0,0.58,0.5799933346878882,6.665312111797661e-06
71,4026,Application_147324724,0,0.85,0.8499933416675942,6.658332405762302e-06
72,6035,Application_296817651,0,0.7133333333333334,0.7133266719858316,6.661347501824011e-06
73,4575,Application_274633120,1,0.78,0.7799933387123374,6.6612876625793405e-06
74,4623,Application_1124562062,0,0.7933333333333333,0.7933266770727511,6.656260582271756e-06
75,1855,Application_1474745448,0,0.37666666666666665,0.3766599942506452,6.672416021424876e-06
76,1669,Application_1742514819,1,0.6066666666666667,0.6066600000340652,6.666632601515232e-06
77,3672,Application_1787045022,1,0.4866666666666667,0.4866599980784849,6.66858818176852e-06
78,5037,Application_1427125327,1,0.36333333333333334,0.3633266568199315,6.676513401859818e-06
79,4586,Application_1014628070,0,0.59,0.5899933353766148,6.664623385166379e-06
80,6234,Application_1287686643,0,0.41333333333333333,0.41332666307579646,6.670257536867119e-06
81,4457,Application_1855681221,0,0.68,0.6799933373063394,6.6626936606750675e-06
82,1199,Application_2595810,0,0.7033333333333334,0.7033266680628815,6.665270451899907e-06
83,6205,Application_531062056,1,0.4533333333333333,0.45332666119680487,6.672136528440564e-06
84,361,Application_1273835556,0,0.6233333333333333,0.6233266672761023,6.666057230986233e-06
85,5647,Application_195053177,1,0.28,0.2799933233734254,6.676626574608768e-06
86,706,Application_539120928,1,0.9566666666666667,0.9566600129494667,6.653717199989195e-06
87,4243,Application_238582681,0,0.41333333333333333,0.41332665725520545,6.676078127876295e-06
88,701,Application_538311021,1,0.83,0.8299933402431456,6.659756854321408e-06
89,462,Application_750872976,0,0.4266666666666667,0.42665999358864226,6.673078024432844e-06
90,3754,Application_1659255564,0,0.7233333333333334,0.7233266729633593,6.660369974098579e-06
91,3868,Application_959893793,0,0.42333333333333334,0.4233266628616664,6.670471666914146e-06
92,490,Application_1909723515,1,0.48,0.4799933294986243,6.670501375705129e-06
93,3540,Application_1209989055,0,0.46,0.459993329784143,6.670215857040862e-06
94,4154,Application_136002576,1,0.7,0.699993339285372,6.660714627959585e-06
95,1289,Application_144137365,1,0.13333333333333333,0.13332664786585652,6.685467476813534e-06
96,3828,Application_83386929,1,0.49333333333333335,0.4933266637605548,6.6695727785615055e-06
97,6254,Application_1722592475,0,0.37,0.369993328179077,6.671820923009886e-06
98,2147,Application_92982126,0,0.4766666666666667,0.4766599937984227,6.672868243962071e-06
99,322,Application_894204901,1,0.6833333333333333,0.68332667294532,6.66038801333535e-06
100,5705,Application_1050826945,1,0.86,0.8599933389726016,6.66102739843577e-06
101,1767,Application_188033371,0,0.64,0.6399933374493278,6.662550672165146e-06
102,3301,Application_2002111319,1,0.6033333333333334,0.6033266679427997,6.665390533733273e-06
103,2381,Application_394129589,0,0.6533333333333333,0.6533266703679232,6.662965410075827e-06
104,4858,Application_185493618,1,0.4,0.3999933298269659,6.670173034128979e-06
105,3025,Application_308306449,0,0.37333333333333335,0.3733266575537777,6.6757795556537936e-06
106,2963,Application_1829767472,1,0.9533333333333334,0.9533266813391723,6.651994161055441e-06
107,6107,Application_1454914218,1,0.48,0.4799933324039865,6.667596013476551e-06
108,1720,Application_1662782689,1,0.8866666666666667,0.886660009496582,6.65717008474509e-06
109,2160,Application_2009085424,0,0.5466666666666666,0.5466599977493266,6.668917340024727e-06
110,2225,Application_1710327474,1,0.5833333333333334,0.5833266690169823,6.66431635110154e-06
111,1016,Application_1361444752,1,0.52,0.5199933313514044,6.668648595664628e-06
112,1819,Application_2013171518,1,0.43333333333333335,0.43332665944732807,6.673886005281737e-06
113,2294,Application_39907373,1,0.6233333333333333,0.6233266703581802,6.6629751530600245e-06
114,672,Application_391099640,0,0.7533333333333333,0.7533266732264781,6.660106855238546e-06
115,2111,Application_1929025400,0,0.52,0.5199933330239104,6.666976089642063e-06
116,3756,Application_119108505,0,0.26666666666666666,0.2666599888619459,6.677804720744973e-06
117,3029,Application_629281341,1,0.5133333333333333,0.5133266661361103,6.667197222975929e-06
118,1062,Application_1494178086,0,0.6333333333333333,0.6333266700457956,6.663287537733709e-06
119,2714,Application_856904799,0,0.47,0.46999332880444666,6.671195553309417e-06
120,316,Application_2114671174,1,0.7733333333333333,0.7733266742170938,6.6591162395379655e-06
121,4119,Application_1656189522,1,0.19333333333333333,0.19332665184683206,6.681486501264322e-06
122,2368,Application_1635282054,0,0.73,0.729993336789572,6.663210427970689e-06
123,4309,Application_828015798,0,0.68,0.6799933342079181,6.665792081972377e-06
124,299,Application_1710523057,1,0.5733333333333334,0.5733266673233163,6.6660100170867764e-06
125,208,Application_1698334648,0,0.5466666666666666,0.5466599995822908,6.667084375799881e-06
126,4289,Application_1712513447,1,0.79,0.7899933428877688,6.657112231245321e-06
127,2179,Application_1271426699,0,0.7833333333333333,0.7833266751816428,6.658151690541736e-06
128,1661,Application_2145055012,1,0.5033333333333333,0.5033266630833255,6.670250007778655e-06
129,1584,Application_1292574553,1,0.7733333333333333,0.7733266697302499,6.6636030834343885e-06
130,2295,Application_1853216913,1,0.46,0.45999332875831456,6.67124168546307e-06
131,1332,Application_563891423,1,0.7066666666666667,0.706660005884074,6.660782592704528e-06
132,221,Application_1668457930,1,0.3933333333333333,0.3933266617014035,6.671631929799915e-06
133,2425,Application_153662314,1,0.8866666666666667,0.886660010811556,6.655855110726527e-06
134,1439,Application_1891033664,1,0.7233333333333334,0.7233266710886561,6.662244677269058e-06
135,3687,Application_1716250296,1,0.67,0.6699933360865589,6.6639134411738965e-06
136,6209,Application_838340812,0,0.5833333333333334,0.5833266687276611,6.664605672224155e-06
137,4783,Application_912680237,1,0.38,0.3799933241730987,6.675826901281212e-06
138,3792,Application_474967319,1,0.6033333333333334,0.603326670058131,6.663275202378749e-06
139,4909,Application_420669904,0,0.5933333333333334,0.5933266683029524,6.665030380936798e-06
140,39,Application_192716320,0,0.43666666666666665,0.4366599956901211,6.670976545553042e-06
141,5879,Application_269523042,1,0.63,0.6299933355653619,6.664434638148364e-06
142,1800,Application_2084407394,0,0.6966666666666667,0.6966600024693996,6.664197267025607e-06
143,879,Application_1120624192,0,0.44,0.43999332994468365,6.670055316349011e-06
144,1304,Application_597065437,1,0.7133333333333334,0.7133266727559926,6.660577340777962e-06
145,981,Application_1544460375,1,0.8366666666666667,0.8366600120566139,6.654610052780896e-06
146,743,Application_2092228035,1,0.4033333333333333,0.4033266620565081,6.671276825243044e-06
147,2836,Application_357595149,1,0.5633333333333334,0.5633266677240264,6.665609306955034e-06
148,3110,Application_2053544331,0,0.43333333333333335,0.43332666295718536,6.670376147988044e-06
149,5686,Application_201290364,0,0.38333333333333336,0.3833266592405429,6.6740927904818115e-06
150,5014,Application_954830822,0,0.5,0.4999933302641493,6.6697358506728754e-06
151,1211,Application_327072822,1,0.7866666666666666,0.7866600039471763,6.662719490346802e-06
152,3188,Application_2089776619,1,0.4866666666666667,0.48665999641855096,6.670248115736577e-06
153,4105,Application_642433479,0,0.62,0.619993337284408,6.662715592020696e-06
154,6138,Application_1937962025,1,0.49333333333333335,0.49332666308641626,6.670246917084288e-06
155,1729,Application_1061764162,1,0.5233333333333333,0.5233266623712741,6.6709620591964836e-06
156,4740,Application_1971384449,1,0.36666666666666664,0.36665999113917025,6.675527496391442e-06
157,6090,Application_302909261,0,0.5633333333333334,0.5633266675777885,6.6657555448657035e-06
158,196,Application_1031465496,1,0.66,0.6599933379542899,6.66204571009299e-06
159,5920,Application_1196296078,0,0.6166666666666667,0.6166600031162446,6.663550422114639e-06
160,29,Application_160157720,1,0.39,0.3899933281347882,6.6718652118047395e-06
161,3943,Application_1949069602,0,0.44666666666666666,0.44665999596506856,6.670701598099349e-06
162,27,Application_1334997155,1,0.57,0.5699933345046967,6.665495303259661e-06
163,466,Application_1671150390,1,0.6766666666666666,0.6766600006739386,6.665992728027703e-06
164,3647,Application_589847268,1,0.7133333333333334,0.7133266746823862,6.658650947177769e-06
165,805,Application_1365437313,0,0.81,0.8099933428039376,6.657196062409554e-06
166,3171,Application_1727581145,1,0.6833333333333333,0.6833266671861485,6.666147184808402e-06
167,1457,Application_1509521523,1,0.7466666666666667,0.7466600066613568,6.660005309910844e-06
168,4167,Application_542599834,0,0.8033333333333333,0.8033266722458193,6.661087514014952e-06
169,6057,Application_514516624,1,0.37666666666666665,0.37665999443006826,6.672236598392889e-06
170,772,Application_1924151739,0,0.49333333333333335,0.4933266645402138,6.668793119557481e-06
171,3182,Application_1847406506,1,0.6566666666666666,0.6566600053102054,6.661356461212797e-06
172,1189,Application_606749031,1,0.51,0.5099933318478004,6.66815219962924e-06
173,122,Application_1630717104,1,0.7033333333333334,0.7033266731255314,6.660207801933993e-06
174,717,Application_1104697616,1,0.7566666666666667,0.7566600010778588,6.665588807908129e-06
175,5511,Application_1508412981,0,0.4866666666666667,0.4866599976029298,6.669063736919334e-06
176,1133,Application_254824641,0,0.35333333333333333,0.35332666041943306,6.6729139002741356e-06
177,5347,Application_177309042,1,0.7066666666666667,0.706660004611576,6.662055090700392e-06
178,3263,Application_1019849833,0,0.5866666666666667,0.5866600022548517,6.66441181496058e-06
179,4317,Application_285811325,0,0.2866666666666667,0.2866599877348035,6.6789318631799155e-06
180,6144,Application_1437729547,1,0.27666666666666667,0.27665998740594694,6.679260719733016e-06
181,4124,Application_1685601249,1,0.37,0.369993324835614,6.675164386016341e-06
182,1648,Application_795434722,0,0.6766666666666666,0.6766600049073804,6.66175928620838e-06
183,1886,Application_1410285531,1,0.65,0.6499933358889727,6.6641110273435444e-06
184,3111,Application_1543333489,0,0.6466666666666666,0.6466600034627004,6.6632039662506415e-06
185,5559,Application_541755335,1,0.30666666666666664,0.30665999328512267,6.673381543975676e-06
186,6269,Application_117342811,0,0.19666666666666666,0.19665998468415008,6.681982516576479e-06
187,5547,Application_1938585575,1,0.29,0.2899933207781711,6.679221828898019e-06
188,2543,Application_138912330,1,0.5266666666666666,0.5266599996066297,6.667060036935624e-06
189,1915,Application_1300625552,1,0.36333333333333334,0.36332665960480615,6.67372852719561e-06
190,4353,Application_932953546,0,0.6266666666666667,0.6266600023154056,6.664351261065349e-06
191,678,Application_1464780823,1,0.41333333333333333,0.41332665902533644,6.674307996890061e-06
192,606,Application_2042834818,0,0.7566666666666667,0.7566600077017601,6.658964906591791e-06
193,2148,Application_669667104,1,0.65,0.6499933337020847,6.666297915347563e-06
194,1064,Application_162990347,1,0.59,0.5899933340081318,6.665991868159971e-06
195,671,Application_821026605,1,0.5533333333333333,0.553326667053846,6.666279487310689e-06
196,4297,Application_138336932,1,0.4866666666666667,0.4866599926138721,6.674052794586327e-06
197,89,Application_1315782276,1,0.6866666666666666,0.6866599969490512,6.6697176154262294e-06
198,2080,Application_1662936819,0,0.4666666666666667,0.4666599945650138,6.672101652893669e-06
199,4066,Application_584887022,1,0.49333333333333335,0.4933266638115304,6.669521802948886e-06
200,5458,Application_2131037404,0,0.25666666666666665,0.2566599860872568,6.680579409834575e-06
201,1287,Application_1768718354,0,0.47333333333333333,0.47332666404266766,6.6692906656729e-06
202,261,Application_1093861933,1,0.8066666666666666,0.8066600080601274,6.6586065392559846e-06
203,4617,Application_109999371,0,0.7333333333333333,0.7333266729130588,6.660420274529066e-06
204,4031,Application_1413647211,1,0.64,0.6399933354276317,6.664572368308974e-06
205,4766,Application_2142018582,0,0.2,0.19999331850709418,6.68149290583564e-06
206,5107,Application_579964835,1,0.43333333333333335,0.4333266620674374,6.671265895930034e-06
207,4344,Application_515101580,1,0.42,0.4199933257165616,6.674283438368178e-06
208,2845,Application_240075618,0,0.4533333333333333,0.4533266584286251,6.674904708237062e-06
209,5903,Application_832057009,0,0.49,0.4899933306131258,6.669386874214034e-06
210,1848,Application_662049888,0,0.29333333333333333,0.2933266578032637,6.675530069610858e-06
211,1484,Application_1818695540,1,0.7333333333333333,0.733326670410559,6.662922774292035e-06
212,1964,Application_2089315093,1,0.7866666666666666,0.7866600092457786,6.657420888012133e-06
213,5361,Application_1202702224,1,0.3433333333333333,0.3433266596513499,6.673681983426771e-06
214,5613,Application_1812318096,0,0.7366666666666667,0.7366600032795914,6.663387075334093e-06
215,6252,Application_813308967,1,0.28,0.2799933250531164,6.674946883611366e-06
216,4366,Application_807155180,1,0.6133333333333333,0.6133266688201962,6.664513137133454e-06
217,3749,Application_109176319,1,0.6533333333333333,0.6533266710533916,6.662279941727078e-06
218,3664,Application_421333270,1,0.47,0.4699933322132015,6.667786798475461e-06
219,2783,Application_476768361,1,0.58,0.5799933354397052,6.664560294744604e-06
220,6123,Application_1136165010,1,0.6233333333333333,0.6233266709689163,6.66236441704271e-06
221,408,Application_1600471037,0,0.9433333333333334,0.9433266762330649,6.657100268481209e-06
222,4560,Application_1623607293,0,0.46,0.4599933316463642,6.668353635830293e-06
223,3673,Application_1605888035,1,0.4666666666666667,0.46665999802188074,6.668644785934319e-06
224,6207,Application_188935499,0,0.30333333333333334,0.30332665735897046,6.6759743628797e-06
225,3936,Application_493036402,1,0.54,0.5399933343169844,6.665683015660839e-06
226,2898,Application_1140614876,0,0.49333333333333335,0.4933266638645115,6.669468821829394e-06
227,861,Application_997592088,0,0.43666666666666665,0.43665999428250357,6.672384163075584e-06
228,568,Application_591439695,1,0.8966666666666666,0.8966600088282217,6.657838444890096e-06
229,4907,Application_47029740,1,0.5033333333333333,0.5033266667084676,6.666624865703241e-06
230,5418,Application_68169913,0,0.6333333333333333,0.633326668972465,6.66436086826927e-06
231,5877,Application_1198919634,1,0.6933333333333334,0.6933266718126541,6.661520679296373e-06
232,5475,Application_1152608339,0,0.79,0.7899933430537376,6.656946262451058e-06
233,5967,Application_52637026,1,0.39666666666666667,0.3966599953997739,6.671266892743777e-06
234,4960,Application_1958977845,0,0.2866666666666667,0.28665998829571804,6.6783709486428755e-06
235,3017,Application_676010641,1,0.6833333333333333,0.6833266727940421,6.660539291214462e-06
236,6242,Application_47037036,0,0.7,0.699993339113934,6.660886065934513e-06
237,3103,Application_1925786885,1,0.8666666666666667,0.8666600070655555,6.659601111236313e-06
238,4183,Application_747928417,0,0.26666666666666666,0.26665998961249604,6.67705417062292e-06
239,5667,Application_1318153169,0,0.32,0.3199933221522544,6.6778477456064245e-06
240,6270,Application_965278193,1,0.6033333333333334,0.6033266670969456,6.666236387786739e-06
241,1881,Application_1846502351,1,0.4533333333333333,0.4533266640767922,6.66925654113637e-06
242,2677,Application_1794381253,0,0.5633333333333334,0.5633266645997012,6.668733632197998e-06
243,3376,Application_1962542067,0,0.61,0.6099933317900347,6.668209965310368e-06
244,1472,Application_555699088,0,0.5833333333333334,0.5833266660508502,6.667282483219239e-06
245,2358,Application_1681794627,1,0.5266666666666666,0.52665999892458,6.667742086574613e-06
246,3314,Application_467208365,1,0.8133333333333334,0.8133266753266001,6.658006733273325e-06
247,2901,Application_453521125,1,0.7,0.6999933357458028,6.664254197152886e-06
248,5463,Application_2076812467,1,0.6433333333333333,0.6433266678850444,6.665448288867282e-06
249,1202,Application_1537507196,0,0.5866666666666667,0.5866600009321603,6.6657345063614315e-06
250,648,Application_974380976,1,0.2733333333333333,0.273326655163926,6.678169407303702e-06
251,1795,Application_130653490,0,0.61,0.609993335177852,6.664822147950389e-06
252,1548,Application_86016468,1,0.5333333333333333,0.5333266659103802,6.667422953077207e-06
253,2453,Application_1997272398,0,0.5866666666666667,0.5866600011849445,6.665481722123445e-06
254,2565,Application_1206648420,1,0.7166666666666667,0.7166600069569937,6.659709672951486e-06
255,4789,Application_147809631,0,0.48,0.47999333173306247,6.668266937515099e-06
256,5585,Application_100853745,0,0.45666666666666667,0.45665999893698894,6.667729677722889e-06
257,754,Application_365485542,0,0.5166666666666667,0.5166599982012018,6.6684654649318276e-06
258,3402,Application_302452407,0,0.45666666666666667,0.45665999724610035,6.669420566318696e-06
259,2994,Application_2020372305,0,0.41,0.4099933287737516,6.671226248367024e-06
260,1586,Application_1105229091,0,0.2833333333333333,0.28332665409515395,6.679238179374547e-06
261,4311,Application_545440810,0,0.35333333333333333,0.35332665561529186,6.677718041470104e-06
262,2134,Application_1322203709,1,0.6833333333333333,0.683326668100436,6.665232897384854e-06
263,2581,Application_1572708761,1,0.7633333333333333,0.7633266732542249,6.660079108433692e-06
264,5313,Application_1198234313,1,0.7733333333333333,0.7733266691019376,6.664231395725473e-06
265,5664,Application_1090606231,1,0.36666666666666664,0.36665999088931844,6.675777348197354e-06
266,4718,Application_1857316370,0,0.34,0.33999332331008664,6.676689913387435e-06
267,2081,Application_1297366419,1,0.8,0.799993344391231,6.655608769001731e-06
268,5519,Application_652307166,1,0.39666666666666667,0.39665999157311693,6.675093549735056e-06
269,5617,Application_123758220,1,0.6933333333333334,0.6933266692471972,6.664086136143332e-06
270,3442,Application_1696760888,0,0.22333333333333333,0.22332665498068377,6.6783526495584056e-06
271,2512,Application_1068273919,1,0.4533333333333333,0.45332666370185104,6.669631482270066e-06
272,6124,Application_1080844867,0,0.6966666666666667,0.6966600070540407,6.659612625914413e-06
273,2899,Application_721338074,1,0.4766666666666667,0.4766599974734557,6.669193210961932e-06
274,693,Application_855239950,1,0.6133333333333333,0.6133266688429917,6.6644903415902235e-06
275,5231,Application_1176335358,0,0.44666666666666666,0.44665999394126743,6.672725399226032e-06
276,3093,Application_1383315955,0,0.38,0.3799933254654773,6.67453452268818e-06
277,949,Application_113474586,1,0.5966666666666667,0.5966600006188049,6.666047861814128e-06
278,6224,Application_406889230,1,0.51,0.5099933324466283,6.6675533717530655e-06
279,4143,Application_752586469,0,0.44333333333333336,0.4433266628247804,6.670508552963916e-06
280,4627,Application_1721513096,0,0.54,0.53999333109938,6.668900620065976e-06
281,200,Application_306086229,0,0.6733333333333333,0.6733266727296385,6.660603694808032e-06
282,3579,Application_943060504,1,0.73,0.7299933407690673,6.659230932681837e-06
283,2839,Application_1356606116,1,0.7566666666666667,0.756660008425399,6.6582412676652325e-06
284,4738,Application_503919356,0,0.7566666666666667,0.7566600076384972,6.659028169542225e-06
285,2706,Application_1472456050,0,0.6033333333333334,0.603326662507515,6.670825818400061e-06
286,3423,Application_1358966881,1,0.7033333333333334,0.7033266705045249,6.662828808456922e-06
287,2794,Application_1010657155,1,0.5666666666666667,0.5666599989730982,6.667693568496169e-06
288,1934,Application_161248895,0,0.57,0.5699933356554963,6.6643445036929094e-06
289,751,Application_1471430106,1,0.76,0.7599933370141244,6.662985875593996e-06
290,3975,Application_1334425086,1,0.19666666666666666,0.19665998741464658,6.679252020080906e-06
291,2405,Application_1640033565,0,0.6,0.5999933356050039,6.664394996080958e-06
292,1923,Application_1674949270,1,0.6166666666666667,0.6166600042102461,6.662456420558627e-06
293,2028,Application_1231464056,1,0.6666666666666666,0.6666600028513437,6.663815322882627e-06
294,1824,Application_1632754032,0,0.11333333333333333,0.11332664713802781,6.68619530551362e-06
295,840,Application_240111953,0,0.32666666666666666,0.3266599900002839,6.676666382765539e-06
296,3355,Application_1971957937,0,0.42,0.4199933292387627,6.67076123728183e-06
297,3834,Application_8352800,1,0.54,0.5399933340957961,6.6659042039507455e-06
298,2487,Application_569214142,1,0.5633333333333334,0.5633266660858652,6.66724746811731e-06
299,2268,Application_65717423,0,0.68,0.6799933331649624,6.666835037694163e-06
300,2635,Application_661194677,0,0.36666666666666664,0.3666599913507109,6.675315955717576e-06
301,5713,Application_1825535812,0,0.2966666666666667,0.29665999043893887,6.676227727819839e-06
302,5166,Application_2104220031,0,0.41,0.40999332932010973,6.670679890241615e-06
303,1498,Application_2003208027,0,0.5833333333333334,0.5833266657973244,6.667536008975183e-06
304,533,Application_1757112551,0,0.6366666666666667,0.6366600031094595,6.663557207242654e-06
305,263,Application_79681847,0,0.4533333333333333,0.45332665998508426,6.673348249053301e-06
306,246,Application_1425820279,1,0.5466666666666666,0.5466599990089197,6.667657746928235e-06
307,2712,Application_1033509575,1,0.5666666666666667,0.5666600009679511,6.665698715546675e-06
308,3774,Application_1528113685,1,0.35333333333333333,0.353326661882037,6.671451296347275e-06
309,2655,Application_1755263044,0,0.42333333333333334,0.42332666290385723,6.670429476107742e-06
310,2352,Application_90041934,0,0.66,0.6599933363872084,6.663612791668605e-06
311,520,Application_2099334395,0,0.5833333333333334,0.5833266663533743,6.66697995910237e-06
312,3926,Application_767198533,1,0.7366666666666667,0.7366600068837117,6.659782954998583e-06
313,2499,Application_627088243,0,0.52,0.5199933337025029,6.66629749712655e-06
314,4378,Application_946583171,1,0.5733333333333334,0.5733266689236197,6.6644097136414615e-06
315,6226,Application_1562801332,1,0.5166666666666667,0.5166600005237729,6.666142893796412e-06
316,6160,Application_1724202676,1,0.27,0.2699933195074609,6.6804925391017456e-06
317,1081,Application_131097851,0,0.48333333333333334,0.48332666129808166,6.672035251675812e-06
318,46,Application_164778672,1,0.4866666666666667,0.48665999648935365,6.670177313039538e-06
319,79,Application_1109722425,0,0.4166666666666667,0.4166599952146752,6.671451991457911e-06
320,2789,Application_1098883900,1,0.7533333333333333,0.7533266679971717,6.665336161559843e-06
321,4386,Application_494333708,1,0.4066666666666667,0.4066599960435352,6.67062313147726e-06
322,6054,Application_129816772,0,0.58,0.5799933335536923,6.666446307646012e-06
323,3609,Application_73130035,1,0.78,0.7799933409430575,6.65905694252622e-06
324,5595,Application_1604706641,1,0.7866666666666666,0.7866600080588797,6.65860778692462e-06
325,3806,Application_160303236,1,0.8166666666666667,0.8166600058548478,6.660811818881562e-06
326,4347,Application_424363323,0,0.5166666666666667,0.516659999225474,6.667441192709234e-06
327,538,Application_199635820,0,0.7233333333333334,0.723326673330576,6.660002757397088e-06
328,6067,Application_592054830,1,0.6,0.5999933368640978,6.663135902140738e-06
329,4655,Application_1693259722,0,0.5866666666666667,0.586659998591702,6.668074964633064e-06
330,1059,Application_1681361801,1,0.8833333333333333,0.8833266786793226,6.654654010729288e-06
331,6002,Application_2014291061,0,0.7033333333333334,0.70332667103747,6.662295863324452e-06
